,,,,,,
,,,,,,
NEW YORK,Categoría,Columbia / NYU (Privada Élite),Fordham / Pace (Privada Media),CUNY (Pública NYC),SUNY (Pública Estado),
,Matrícula Base (Tuition),"$73,000 - $76,000","$56,000 - $59,000","$20,000 - $21,500","$19,500 - $21,000",
,Tarifas Obligatorias (Fees),"$3,500 - $4,200","$2,500 - $3,000","$1,200 - $1,500","$1,800 - $2,200",
,Alojamiento y Comida (Est.),"$19,000 - $22,000","$20,000 - $23,000","$18,000 - $24,000*","$16,500 - $18,000",
,Libros y Suministros,"$1,400 - $1,600","$1,200 - $1,400","$1,200 - $1,400","$1,200 - $1,400",
,Seguro Médico (Obligatorio),"$4,500 - $5,200","$4,000 - $4,800","$3,500 - $4,000","$3,000 - $3,500",
,Transporte Local,"$1,500 (MTA)","$1,500 (MTA)","$1,500 (MTA)",$500 - $800,
,Gastos Personales,"$3,500 - $5,000","$3,000 - $4,500","$3,000 - $4,500","$2,500 - $3,500",
,COSTO TOTAL ANUAL (COA),"~$106,400 - $115,500","~$88,200 - $97,200","~$48,400 - $58,400","~$45,000 - $50,400",
CAMBRIDGE,Rubro de Gasto,Escenario 1: On-Campus (Residencial Harvard/MIT),Escenario 2: Off-Campus (Compartido/Austero),Escenario 3: Off-Campus (Independiente/Moderado),Notas y Fundamentos de la Proyección 2027,
,COSTOS FACTURADOS DIRECTOS,,,,,
,Matrícula (Tuition),"$66,400","$66,400","$66,400",Proyección basada en CAGR 4-4.5% sobre base 2025 ($61k-$62k). Asume pago completo sin becas.,
,Tasas Obligatorias (Fees),"$5,950","$5,950","$5,950","Incluye tasas de salud, actividades estudiantiles y tecnología. Tendencia alcista histórica.",
,Seguro Médico (SHIP),"$4,800","$4,800","$4,800","Seguro Blue Cross Blue Shield negociado por universidades. Aumento proyectado sobre los $4,308 de 2025.",
,COSTOS DE VIDA (INDIRECTOS),,,,,
,Alojamiento (Housing),"$15,800","$14,400","$28,800","On-Campus: Tarifa oficial proyectada. Austero: Habitación en piso compartido ($1,600/mes x 9). Moderado: Estudio propio ($3,200/mes x 9).",
